"year","sex","age","deaths"
1997,"female",5,9.08509727626459
1997,"female",10,4.03782101167315
1997,"female",15,8.0756420233463
1997,"female",20,11.1040077821012
1997,"female",25,12.1134630350195
1997,"female",30,24.2269260700389
1997,"female",35,19.1796498054475
1997,"female",40,21.198560311284
1997,"female",45,33.3120233463035
1997,"female",50,55.5200389105058
1997,"female",55,43.4065758754864
1997,"female",60,73.690233463035
1997,"female",65,88.8320622568093
1997,"female",70,110.030622568093
1997,"female",75,101.954980544747
1997,"female",80,113.058988326848
1997,"female",85,209.966692607004
1998,"female",0,84.1265387316727
1998,"female",1,21.1612777098232
1998,"female",5,4.03071956377585
1998,"female",10,8.06143912755171
1998,"female",15,11.0844788003836
1998,"female",20,9.06911901849567
1998,"female",25,10.2743832017816
1998,"female",30,13.0998385822715
1998,"female",35,21.1612777098232
1998,"female",40,30.2303967283189
1998,"female",45,40.3071956377585
1998,"female",50,51.3916744381421
1998,"female",55,64.4915130204137
1998,"female",60,65.4991929113576
1998,"female",65,94.7219097487326
1998,"female",70,85.6527907302369
1998,"female",75,102.783348876284
1998,"female",80,114.875507567612
1998,"female",85,217.658856443896
1999,"female",0,70.1391753245285
1999,"female",1,16.1612188970112
1999,"female",5,2.0201523621264
1999,"female",10,9.09068562956878
1999,"female",15,8.08060944850558
1999,"female",20,11.1108379916952
1999,"female",25,5.05038090531599
1999,"female",30,16.1612188970112
1999,"female",35,19.1914474402008
1999,"female",40,25.2519045265799
1999,"female",45,26.2619807076431
1999,"female",50,41.4131234235911
1999,"female",55,55.5541899584759
1999,"female",60,62.6247232259182
1999,"female",65,89.8967801146246
1999,"female",70,87.8766277524982
1999,"female",75,118.178913184394
1999,"female",80,101.00761810632
1999,"female",85,237.367902549851
2000,"female",0,71.0294117647059
2000,"female",1,12.1764705882353
2000,"female",5,12.1764705882353
2000,"female",10,11.1617647058824
2000,"female",15,12.1764705882353
2000,"female",20,9.13235294117647
2000,"female",25,13.1911764705882
2000,"female",30,8.11764705882353
2000,"female",35,25.3676470588235
2000,"female",40,18.2647058823529
2000,"female",45,31.4558823529412
2000,"female",50,42.6176470588235
2000,"female",55,47.6911764705882
2000,"female",60,78.1323529411765
2000,"female",65,81.1764705882353
2000,"female",70,102.485294117647
2000,"female",75,123.794117647059
2000,"female",80,120.75
2000,"female",85,214.102941176471
2001,"female",0,66.3663737103839
2001,"female",1,18.099920102832
2001,"female",5,5.02775558411999
2001,"female",10,10.05551116824
2001,"female",15,9.04996005141598
2001,"female",20,18.099920102832
2001,"female",25,9.04996005141598
2001,"female",30,16.088817869184
2001,"female",35,24.1332268037759
